"","Slice","Count","Total Area","Average Size","%Area","Mean","Perim.","Circ.","Solidity","hippo_area","Treatment","Gender"
"1","C2-AD173_6E10_1_CA1.oir",4,531.464,132.866,0.033,255,40.692,0.911,0.914,"CA1","TBI","M"
"2","C2-AD173_6E10_2_CA1.oir",3,92.697,30.899,0.006,255,18.448,1,0.889,"CA1","TBI","M"
"3","C2-AD173_6E10_3_CA1.oir",1,7.725,7.725,0.0004768,255,9.517,1,0.909,"CA1","TBI","M"
"4","C2-AD061_6E10_4_CA1.oir",5,163.765,32.753,0.01,255,20.235,0.96,0.884,"CA1","TBI","M"
"5","C2-AD173_6E10_4_CA1.oir",11,5160.141,469.104,0.319,255,85.405,0.833,0.852,"CA1","TBI","M"
"6","C2-AD173_6E10_5_CA1.oir",2,78.793,39.396,0.005,255,21.52,0.987,0.923,"CA1","TBI","M"
"7","C2-AD173_6E10_6_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","TBI","M"
"8","C2-AD173_6E10_7_CA1.oir",4,2977.123,744.281,0.184,255,99.358,0.797,0.871,"CA1","TBI","M"
"9","C2-AD173_6E10_8_CA1.oir",1,33.989,33.989,0.002,255,20.792,0.988,0.863,"CA1","TBI","M"
"10","C2-AD186_6E10_1_CA1.oir",4,247.192,61.798,0.015,255,26.279,0.989,0.923,"CA1","TBI","F"
"11","C2-AD186_6E10_2_CA1.oir",5,523.739,104.748,0.032,255,36.481,0.903,0.854,"CA1","TBI","F"
"12","C2-AD186_6E10_3_CA1.oir",9,3930.359,436.707,0.243,255,75.082,0.806,0.853,"CA1","TBI","F"
"13","C2-AD186_6E10_4_CA1.oir",4,905.342,226.336,0.056,255,54.498,0.835,0.856,"CA1","TBI","F"
"14","C2-AD186_6E10_5_CA1.oir",6,644.245,107.374,0.04,255,34.695,0.97,0.914,"CA1","TBI","F"
"15","C2-AD186_6E10_6_CA1.oir",12,1237.507,103.126,0.076,255,36.585,0.89,0.885,"CA1","TBI","F"
"16","C2-AD186_6E10_7_CA1.oir",2,84.972,42.486,0.005,255,22.914,0.958,0.876,"CA1","TBI","F"
"17","C2-AD262_6E10_1_CA1.oir",35,1416.721,40.478,0.087,255,21.315,0.913,0.866,"CA1","TBI","F"
"18","C2-AD262_6E10_2_CA1.oir",16,999.584,62.474,0.062,255,27.669,0.888,0.875,"CA1","TBI","F"
"19","C2-AD262_6E10_3_CA1.oir",12,298.176,24.848,0.018,255,17.12,0.917,0.856,"CA1","TBI","F"
"20","C2-AD061_6E10_5_CA1.oir",10,466.576,46.658,0.029,255,22.326,0.947,0.909,"CA1","TBI","M"
"21","C2-AD262_6E10_4_CA1.oir",23,1395.092,60.656,0.086,255,26.009,0.885,0.889,"CA1","TBI","F"
"22","C2-AD262_6E10_5_CA1.oir",17,2842.712,167.218,0.175,255,41.129,0.851,0.867,"CA1","TBI","F"
