"","Treatment","mouseID","sum_mfi"
"1","AD","AD019",165.818333333333
"2","AD","AD110",389.893444444444
"3","AD","AD112",176.901071428571
"4","AD","AD130",259.204444444444
"5","AD","AD144",315.704722222222
"6","AD","AD146",181.057142857143
"7","AD","AD151",358.037083333333
"8","AD","AD260",194.712
"9","AD","AD275",327.331222222222
"10","AD","AD276",149.482666666667
"11","AD","AD277",184.64244047619
"12","SHAM","AD008",205.643253968254
"13","SHAM","AD030",176.309583333333
"14","SHAM","AD073",189.04
"15","SHAM","AD080",185.156666666667
"16","SHAM","AD159",240.072111111111
"17","SHAM","AD175",164.750416666667
"18","SHAM","AD182",224.323611111111
"19","SHAM","AD259",256.773148148148
"20","SHAM","AD273",325.972333333333
"21","SHAM","AD284",171.677047619048
"22","TBI","AD011",319.714761904762
"23","TBI","AD015",221.103444444444
"24","TBI","AD077",172.83
"25","TBI","AD083",229.193333333333
"26","TBI","AD171",203.201111111111
"27","TBI","AD173",158.045555555556
"28","TBI","AD178",162.037777777778
"29","TBI","AD186",310.174166666667
"30","TBI","AD262",196.478333333333
"31","TBI","AD264",134.939484126984
"32","TBI","AD271",163.089166666667
"33","TBI","AD280",317.756666666667
"34","WT","WT008",101.121111111111
"35","WT","WT010",142.082777777778
"36","WT","WT016",174.975277777778
"37","WT","WT034",111.773666666667
"38","WT","WT038",167.962380952381
"39","WT","WT227",181.6925
"40","WT","WT229",158.774444444444
"41","WT","WT232",224.449583333333
"42","WT","WT234",271.56
