"","id_tag","date","average","treatment","trial"
"1","AD005",2023-01-03,90,"TBI",1
"2","AD009",2023-01-03,70.75,"SHAM",1
"3","AD011",2023-01-03,90,"TBI",1
"4","AD014",2023-01-03,79.25,"SHAM",1
"5","AD015",2023-01-03,90,"TBI",1
"6","AD022",2023-01-03,57.5,"SHAM",1
"7","AD026",2023-01-03,79.25,"TBI",1
"8","AD030",2023-01-03,90,"SHAM",1
"9","AD033",2023-01-03,90,"TBI",1
"10","AD012",2023-01-03,76,"AD",1
"11","AD024",2023-01-03,90,"AD",1
"12","AD019",2023-01-03,87,"AD",1
"13","AD004",2023-01-03,69.25,"SHAM",1
"14","WT001",2023-01-03,88.5,"WT",1
"15","WT003",2023-01-03,62.25,"WT",1
"16","WT004",2023-01-03,90,"WT",1
"17","WT009",2023-01-03,90,"WT",1
"18","WT010",2023-01-03,70.25,"WT",1
"19","WT015",2023-01-03,70,"WT",1
"20","WT007",2023-01-03,73.5,"WT",1
"21","AD005",2023-01-04,90,"TBI",2
"22","AD009",2023-01-04,70.25,"SHAM",2
"23","AD011",2023-01-04,90,"TBI",2
"24","AD014",2023-01-04,68.5,"SHAM",2
"25","AD015",2023-01-04,71.75,"TBI",2
"26","AD022",2023-01-04,68.75,"SHAM",2
"27","AD026",2023-01-04,80.75,"TBI",2
"28","AD030",2023-01-04,90,"SHAM",2
"29","AD033",2023-01-04,90,"TBI",2
"30","AD012",2023-01-04,47.75,"AD",2
"31","AD024",2023-01-04,71.5,"AD",2
"32","AD019",2023-01-04,90,"AD",2
"33","AD004",2023-01-04,69.25,"SHAM",2
"34","WT001",2023-01-04,79.5,"WT",2
"35","WT003",2023-01-04,48,"WT",2
"36","WT004",2023-01-04,90,"WT",2
"37","WT009",2023-01-04,45.5,"WT",2
"38","WT010",2023-01-04,47.25,"WT",2
"39","WT015",2023-01-04,76.5,"WT",2
"40","WT007",2023-01-04,61,"WT",2
"41","AD005",2023-01-05,90,"TBI",3
"42","AD009",2023-01-05,82.5,"SHAM",3
"43","AD011",2023-01-05,88.25,"TBI",3
"44","AD014",2023-01-05,90,"SHAM",3
"45","AD015",2023-01-05,90,"TBI",3
"46","AD022",2023-01-05,77.5,"SHAM",3
"47","AD026",2023-01-05,90,"TBI",3
"48","AD030",2023-01-05,90,"SHAM",3
"49","AD033",2023-01-05,79.25,"TBI",3
"50","AD012",2023-01-05,65.75,"AD",3
"51","AD024",2023-01-05,90,"AD",3
"52","AD019",2023-01-05,90,"AD",3
"53","AD004",2023-01-05,90,"SHAM",3
"54","WT001",2023-01-05,69.75,"WT",3
"55","WT003",2023-01-05,75,"WT",3
"56","WT004",2023-01-05,90,"WT",3
"57","WT009",2023-01-05,60.75,"WT",3
"58","WT010",2023-01-05,43.25,"WT",3
"59","WT015",2023-01-05,62.75,"WT",3
"60","WT007",2023-01-05,77,"WT",3
"61","AD005",2023-01-06,76.25,"TBI",4
"62","AD009",2023-01-06,90,"SHAM",4
"63","AD011",2023-01-06,44.5,"TBI",4
"64","AD014",2023-01-06,90,"SHAM",4
"65","AD015",2023-01-06,90,"TBI",4
"66","AD022",2023-01-06,85,"SHAM",4
"67","AD026",2023-01-06,53.5,"TBI",4
"68","AD030",2023-01-06,90,"SHAM",4
"69","AD033",2023-01-06,73.75,"TBI",4
"70","AD012",2023-01-06,62,"AD",4
"71","AD024",2023-01-06,80,"AD",4
"72","AD019",2023-01-06,90,"AD",4
"73","AD004",2023-01-06,78.5,"SHAM",4
"74","WT001",2023-01-06,90,"WT",4
"75","WT003",2023-01-06,55.75,"WT",4
"76","WT004",2023-01-06,63,"WT",4
"77","WT009",2023-01-06,70,"WT",4
"78","WT010",2023-01-06,69.5,"WT",4
"79","WT015",2023-01-06,90,"WT",4
"80","WT007",2023-01-06,71.75,"WT",4
"81","AD005",2023-01-07,87.25,"TBI",5
"82","AD009",2023-01-07,73.25,"SHAM",5
"83","AD011",2023-01-07,90,"TBI",5
"84","AD014",2023-01-07,90,"SHAM",5
"85","AD015",2023-01-07,90,"TBI",5
"86","AD022",2023-01-07,90,"SHAM",5
"87","AD026",2023-01-07,90,"TBI",5
"88","AD030",2023-01-07,90,"SHAM",5
"89","AD033",2023-01-07,90,"TBI",5
"90","AD012",2023-01-07,72.25,"AD",5
"91","AD024",2023-01-07,90,"AD",5
"92","AD019",2023-01-07,90,"AD",5
"93","AD004",2023-01-07,90,"SHAM",5
"94","WT001",2023-01-07,90,"WT",5
"95","WT003",2023-01-07,72,"WT",5
"96","WT004",2023-01-07,52.75,"WT",5
"97","WT009",2023-01-07,51,"WT",5
"98","WT010",2023-01-07,54.5,"WT",5
"99","WT015",2023-01-07,69.25,"WT",5
"100","WT007",2023-01-07,57,"WT",5
"101","AD005",2023-01-08,90,"TBI",6
"102","AD009",2023-01-08,90,"SHAM",6
"103","AD011",2023-01-08,90,"TBI",6
"104","AD014",2023-01-08,90,"SHAM",6
"105","AD015",2023-01-08,71.25,"TBI",6
"106","AD022",2023-01-08,79.25,"SHAM",6
"107","AD026",2023-01-08,90,"TBI",6
"108","AD030",2023-01-08,90,"SHAM",6
"109","AD033",2023-01-08,90,"TBI",6
"111","AD024",2023-01-08,90,"AD",6
"112","AD019",2023-01-08,90,"AD",6
"113","AD004",2023-01-08,90,"SHAM",6
"114","WT001",2023-01-08,90,"WT",6
"115","WT003",2023-01-08,33.5,"WT",6
"116","WT004",2023-01-08,90,"WT",6
"117","WT009",2023-01-08,88.75,"WT",6
"118","WT010",2023-01-08,90,"WT",6
"119","WT015",2023-01-08,49.75,"WT",6
"120","WT007",2023-01-08,36.5,"WT",6
"121","AD061",2023-02-13,90,"TBI",1
"122","AD077",2023-02-13,90,"TBI",1
"123","AD082",2023-02-13,90,"TBI",1
"124","AD073",2023-02-13,90,"SHAM",1
"125","AD080",2023-02-13,90,"SHAM",1
"126","AD085",2023-02-13,90,"SHAM",1
"127","AD075",2023-02-13,90,"AD",1
"128","AD110",2023-02-13,90,"AD",1
"129","AD112",2023-02-13,90,"AD",1
"130","AD130",2023-02-13,90,"AD",1
"131","WT032",2023-02-13,90,"WT",1
"132","WT034",2023-02-13,90,"WT",1
"133","WT038",2023-02-13,90,"WT",1
"134","AD061",2023-02-14,90,"TBI",2
"135","AD077",2023-02-14,90,"TBI",2
"136","AD082",2023-02-14,90,"TBI",2
"137","AD073",2023-02-14,90,"SHAM",2
"138","AD080",2023-02-14,90,"SHAM",2
"139","AD085",2023-02-14,90,"SHAM",2
"140","AD075",2023-02-14,90,"AD",2
"141","AD110",2023-02-14,90,"AD",2
"142","AD112",2023-02-14,90,"AD",2
"143","AD130",2023-02-14,90,"AD",2
"144","WT032",2023-02-14,90,"WT",2
"145","WT034",2023-02-14,90,"WT",2
"146","WT038",2023-02-14,90,"WT",2
"147","AD061",2023-02-15,90,"TBI",3
"148","AD077",2023-02-15,90,"TBI",3
"149","AD082",2023-02-15,90,"TBI",3
"150","AD073",2023-02-15,90,"SHAM",3
"151","AD080",2023-02-15,90,"SHAM",3
"152","AD085",2023-02-15,90,"SHAM",3
"153","AD075",2023-02-15,90,"AD",3
"154","AD110",2023-02-15,90,"AD",3
"155","AD112",2023-02-15,90,"AD",3
"156","AD130",2023-02-15,90,"AD",3
"157","WT032",2023-02-15,90,"WT",3
"158","WT034",2023-02-15,90,"WT",3
"159","WT038",2023-02-15,82,"WT",3
"160","AD061",2023-02-16,90,"TBI",4
"161","AD077",2023-02-16,90,"TBI",4
"162","AD082",2023-02-16,90,"TBI",4
"163","AD073",2023-02-16,90,"SHAM",4
"164","AD080",2023-02-16,90,"SHAM",4
"165","AD085",2023-02-16,90,"SHAM",4
"166","AD075",2023-02-16,90,"AD",4
"167","AD110",2023-02-16,82,"AD",4
"168","AD112",2023-02-16,90,"AD",4
"169","AD130",2023-02-16,90,"AD",4
"170","WT032",2023-02-16,80.75,"WT",4
"171","WT034",2023-02-16,90,"WT",4
"172","WT038",2023-02-16,80,"WT",4
"173","AD061",2023-02-17,90,"TBI",5
"174","AD077",2023-02-17,90,"TBI",5
"175","AD082",2023-02-17,90,"TBI",5
"176","AD073",2023-02-17,90,"SHAM",5
"177","AD080",2023-02-17,90,"SHAM",5
"178","AD085",2023-02-17,90,"SHAM",5
"179","AD075",2023-02-17,90,"AD",5
"180","AD110",2023-02-17,90,"AD",5
"181","AD112",2023-02-17,84.5,"AD",5
"182","AD130",2023-02-17,78.75,"AD",5
"183","WT032",2023-02-17,77.5,"WT",5
"184","WT034",2023-02-17,72.75,"WT",5
"185","WT038",2023-02-17,90,"WT",5
"186","AD061",2023-02-18,90,"TBI",6
"187","AD077",2023-02-18,90,"TBI",6
"188","AD082",2023-02-18,90,"TBI",6
"189","AD073",2023-02-18,90,"SHAM",6
"190","AD080",2023-02-18,90,"SHAM",6
"191","AD085",2023-02-18,90,"SHAM",6
"192","AD075",2023-02-18,89.5,"AD",6
"193","AD110",2023-02-18,90,"AD",6
"194","AD112",2023-02-18,80.75,"AD",6
"195","AD130",2023-02-18,67,"AD",6
"196","WT032",2023-02-18,90,"WT",6
"197","WT034",2023-02-18,81,"WT",6
"198","WT038",2023-02-18,85.25,"WT",6
"199","AD152",2023-04-21,74,"TBI",1
"200","AD171",2023-04-21,90,"TBI",1
"201","AD172",2023-04-21,90,"TBI",1
"202","AD178",2023-04-21,90,"TBI",1
"203","AD159",2023-04-21,90,"SHAM",1
"204","AD175",2023-04-21,77.5,"SHAM",1
"205","AD182",2023-04-21,90,"SHAM",1
"206","AD144",2023-04-21,90,"AD",1
"207","AD146",2023-04-21,50.75,"AD",1
"208","AD166",2023-04-21,45,"AD",1
"209","AD164",2023-04-21,90,"AD",1
"210","WT227",2023-04-21,90,"WT",1
"211","WT232",2023-04-21,90,"WT",1
"212","WT234",2023-04-21,90,"WT",1
"213","WT229",2023-04-21,90,"WT",1
"214","AD152",2023-04-22,67,"TBI",2
"215","AD171",2023-04-22,79.5,"TBI",2
"216","AD172",2023-04-22,90,"TBI",2
"217","AD178",2023-04-22,90,"TBI",2
"218","AD159",2023-04-22,90,"SHAM",2
"219","AD175",2023-04-22,70,"SHAM",2
"220","AD182",2023-04-22,90,"SHAM",2
"221","AD144",2023-04-22,90,"AD",2
"222","AD146",2023-04-22,90,"AD",2
"223","AD166",2023-04-22,70.5,"AD",2
"224","AD164",2023-04-22,90,"AD",2
"225","WT227",2023-04-22,85.75,"WT",2
"226","WT232",2023-04-22,79,"WT",2
"227","WT234",2023-04-22,77.75,"WT",2
"228","WT229",2023-04-22,76.75,"WT",2
"229","AD152",2023-04-23,62,"TBI",3
"230","AD171",2023-04-23,78.75,"TBI",3
"231","AD172",2023-04-23,90,"TBI",3
"232","AD178",2023-04-23,90,"TBI",3
"233","AD159",2023-04-23,90,"SHAM",3
"234","AD175",2023-04-23,63.66666667,"SHAM",3
"235","AD182",2023-04-23,90,"SHAM",3
"236","AD144",2023-04-23,90,"AD",3
"237","AD146",2023-04-23,90,"AD",3
"238","AD166",2023-04-23,82,"AD",3
"239","AD164",2023-04-23,90,"AD",3
"240","WT227",2023-04-23,90,"WT",3
"241","WT232",2023-04-23,85.5,"WT",3
"242","WT234",2023-04-23,71.5,"WT",3
"243","WT229",2023-04-23,90,"WT",3
"244","AD152",2023-04-24,70.75,"TBI",4
"245","AD171",2023-04-24,90,"TBI",4
"246","AD172",2023-04-24,87.5,"TBI",4
"247","AD178",2023-04-24,90,"TBI",4
"248","AD159",2023-04-24,90,"SHAM",4
"249","AD175",2023-04-24,69.25,"SHAM",4
"250","AD182",2023-04-24,90,"SHAM",4
"251","AD144",2023-04-24,69.25,"AD",4
"252","AD146",2023-04-24,90,"AD",4
"253","AD166",2023-04-24,90,"AD",4
"254","AD164",2023-04-24,84,"AD",4
"255","WT227",2023-04-24,90,"WT",4
"256","WT232",2023-04-24,90,"WT",4
"257","WT234",2023-04-24,81.75,"WT",4
"258","WT229",2023-04-24,59.5,"WT",4
