"","Treatment","hippo_area","Count","Total_Area","Average Size","%Area","Mean","Perim.","Circ.","Solidity","mouseid_col","sex"
"1","TBI","CA1",6,49.0521666666667,7.73283333333333,0.012,255,8.75366666666667,0.961833333333333,0.906333333333333,"AD005","F"
"2","TBI","CA2",8.33333333333333,54.524,6.25383333333333,0.0135,255,8.496,0.958333333333333,0.8895,"AD005","F"
"3","TBI","CA3",16,263.028,17.4,0.0646666666666667,255,12.872,0.89,0.892333333333333,"AD005","F"
"4","TBI","DG",13.1,119.6951,8.0127,0.02968583,255,8.7597,0.9672,0.9082,"AD005","F"
"5","TBI","CA1",4.91666666666667,50.2754166666667,9.59175,0.0122897333333333,255,9.68625,0.951916666666667,0.889,"AD015","F"
"6","TBI","CA2",10.25,95.786875,7.27675,0.02364305,255,8.757625,0.941125,0.894375,"AD015","F"
"7","TBI","CA3",7.33333333333333,50.5973333333333,7.7445,0.0125,212.5,8.1675,0.769833333333333,0.724,"AD015","F"
"8","TBI","DG",5.61538461538461,84.9351538461539,11.5814615384615,0.0249232846153846,255,11.2916153846154,0.909923076923077,0.874384615384615,"AD015","F"
"9","SHAM","CA1",2.125,18.684375,4.787625,0.0046072875,159.375,5.632125,0.587875,0.55725,"AD013","F"
"10","SHAM","CA2",0,0,0,0,0,0,0,0,"AD013","F"
"11","SHAM","CA3",0,0,0,0,0,0,0,0,"AD013","F"
"12","SHAM","DG",1.625,14.96675,5.4315,0.003625,159.375,6.340125,0.578625,0.556125,"AD013","F"
"13","SHAM","CA1",5.375,38.09275,5.1315,0.009375,223.125,6.97725,0.831,0.77125,"AD004","F"
"14","SHAM","CA2",6.66666666666667,51.0798333333333,7.67925,0.0125833333333333,255,9.35816666666667,0.940666666666667,0.889833333333333,"AD004","F"
"15","SHAM","CA3",4.75,28.871,6.12175,0.00725,255,8.03775,0.949,0.88925,"AD004","F"
"16","SHAM","DG",13.875,151.64675,9.01925,0.03725,255,9.8735,0.9355,0.875125,"AD004","F"
"17","WT","CA1",0.7,23.4446,16.1576,0.00583815,127.5,7.5978,0.4926,0.4682,"WT008","F"
"18","WT","CA2",1,9.965,5.446,0.00242861,178.5,6.2134,0.6974,0.642,"WT008","F"
"19","WT","CA3",1.2,10.0424,8.1884,0.0024,153,7.2532,0.5778,0.5536,"WT008","F"
"20","WT","DG",2.33333333333333,32.4441111111111,12.4097777777778,0.00792067777777778,255,11.5007777777778,0.947111111111111,0.886222222222222,"WT008","F"
"21","WT","CA1",5.78571428571429,75.0405,23.792,0.0186327357142857,236.785714285714,15.2231428571429,0.820285714285714,0.806928571428571,"WT010","F"
"22","WT","CA2",6,51.2868571428571,6.91271428571429,0.0126837285714286,236.785714285714,7.97357142857143,0.901071428571429,0.819357142857143,"WT010","F"
"23","WT","CA3",21.7142857142857,266.449,10.2651428571429,0.0657551571428571,255,9.565,0.961285714285714,0.895,"WT010","F"
